Weight_dn24.1,Weight_dn24.2,Weight_dp24.3,Weight_un24.1,Weight_un24.2,Weight_un24.3,Weight_dp24.1,Weight_dp24.2,Weight_dp24.3.1,Weight_up24.1,Weight_up24.2,Weight_up24.3
3.28,3.26,3.16,5.76,4.98,6.87,2.5,9.4,9.38,1.01,1.81,1.0
3.3,3.28,3.16,6.07,4.99,6.81,2.5,9.4,9.38,1.01,1.81,0.99
3.35,3.39,3.15,6.09,5.0,6.62,2.5,9.4,9.37,1.01,1.79,0.97
3.38,3.57,3.17,6.02,4.99,6.49,2.5,9.41,9.37,1.0,1.78,0.96
3.38,3.84,3.2,5.77,4.99,6.47,2.5,9.41,9.37,0.99,1.77,0.97
3.36,3.89,3.22,5.76,4.98,6.48,2.49,9.41,9.37,0.98,1.81,1.01
3.33,3.9,3.22,5.76,5.04,6.48,2.5,9.41,9.37,0.97,1.8,1.01
3.32,3.9,3.2,5.77,5.43,6.57,2.5,9.41,9.37,0.96,1.78,1.01
3.31,3.89,3.19,5.79,6.12,6.69,2.5,9.41,9.38,0.97,1.79,1.0
3.31,3.88,3.19,5.89,6.63,6.77,2.5,9.42,9.38,1.01,1.82,1.03
3.32,3.88,3.19,6.03,6.76,6.77,2.5,9.43,9.43,1.01,1.82,1.42
3.32,3.87,3.18,6.09,6.56,6.74,2.5,9.42,9.58,1.0,1.8,1.42
3.35,3.86,3.18,6.08,6.4,6.68,2.5,9.42,9.58,0.99,1.79,1.4
3.37,3.86,3.18,5.98,6.38,6.63,2.5,9.43,9.57,0.99,1.78,1.39
3.37,3.86,3.19,5.94,6.38,6.6,2.49,9.43,9.57,0.97,1.84,1.38
3.36,3.87,3.21,5.92,6.39,6.6,2.49,9.43,9.57,0.97,1.83,1.37
3.35,3.88,3.21,5.92,6.41,6.6,2.49,9.43,9.57,0.99,1.82,1.36
3.35,3.89,3.2,5.92,6.46,6.61,2.49,9.43,9.57,1.03,1.8,1.34
3.34,3.9,3.2,5.92,6.57,6.65,2.48,9.43,9.57,1.02,1.79,1.31
3.34,3.9,3.19,5.94,6.69,6.73,2.48,9.43,9.56,1.01,1.78,1.25
3.34,3.9,3.19,6.01,6.66,6.77,2.49,9.43,9.56,1.0,1.82,1.26
3.34,3.89,3.18,6.12,6.61,6.75,2.5,9.43,9.56,1.0,1.84,1.26
3.34,3.88,3.19,6.1,6.54,6.73,2.5,9.43,9.62,0.99,1.81,1.26
3.34,3.87,3.2,6.08,6.52,6.71,2.49,9.43,10.72,0.97,1.8,1.28
3.34,3.87,3.21,6.06,6.51,6.68,2.49,9.43,12.33,0.97,1.79,1.29
3.33,3.86,3.2,6.04,6.51,6.67,2.49,9.43,12.51,0.97,1.8,1.28
3.34,3.87,3.2,6.03,6.52,6.66,2.5,9.59,12.45,1.01,1.83,1.28
3.34,3.87,3.19,6.02,6.52,6.66,2.5,11.1,12.41,1.01,1.82,1.32
3.35,3.88,3.19,6.02,6.63,6.66,2.5,12.42,12.15,1.0,1.81,1.34
3.35,3.88,3.19,6.02,6.68,6.66,2.49,12.47,11.73,1.0,1.79,1.33
3.34,3.9,3.2,6.06,6.67,6.68,2.49,12.42,11.65,0.99,1.79,1.32
3.34,3.9,3.21,6.1,6.65,6.72,2.49,12.38,11.71,0.97,1.8,1.31
3.34,3.89,3.2,6.14,6.63,6.75,2.49,12.35,11.73,0.97,1.8,1.3
3.33,3.88,3.2,6.13,6.62,6.73,2.49,11.81,11.73,1.0,1.79,1.29
3.33,3.87,3.19,6.11,6.6,6.72,2.48,11.72,11.73,1.02,1.83,1.29
3.34,3.87,3.19,6.1,6.59,6.71,2.48,11.75,11.73,1.01,1.86,1.32
3.34,3.86,3.19,6.1,6.59,6.7,2.48,11.77,11.73,1.0,1.84,1.33
3.34,3.86,3.19,6.09,6.59,6.7,2.48,11.78,11.74,1.0,1.83,1.33
3.34,3.87,3.21,6.09,6.58,6.7,2.48,11.79,11.74,0.99,1.81,1.33
3.34,3.88,3.2,6.09,6.59,6.69,2.48,11.79,11.74,0.98,1.8,1.32
3.34,3.88,3.19,6.09,6.62,6.7,2.47,11.79,11.75,0.97,1.82,1.31
3.33,3.89,3.19,6.1,6.65,6.71,2.47,11.8,11.76,1.0,1.84,1.31
3.33,3.89,3.18,6.12,6.66,6.74,2.47,11.81,11.75,1.01,1.82,1.3
3.33,3.89,3.18,6.14,6.65,6.73,2.47,11.81,11.75,1.0,1.81,1.3
3.33,3.88,3.19,6.14,6.64,6.72,2.47,11.81,11.75,1.0,1.8,1.3
3.33,3.87,3.2,6.14,6.63,6.71,2.47,11.82,11.76,0.99,1.82,1.3
3.33,3.87,3.2,6.13,6.62,6.71,2.49,11.83,11.76,0.98,1.83,1.3
3.34,3.86,3.2,6.12,6.62,6.7,2.56,11.83,11.76,0.98,1.82,1.3
3.34,3.86,3.19,6.12,6.62,6.7,2.62,11.83,11.76,1.02,1.81,1.3
3.34,3.86,3.19,6.12,6.62,6.7,2.63,11.83,11.76,1.04,1.85,1.3
3.33,3.87,3.18,6.13,6.62,6.72,2.63,11.84,11.76,1.03,1.85,1.34
3.33,3.87,3.19,6.14,6.63,6.73,2.63,11.84,11.76,1.02,1.85,1.37
3.33,3.88,3.19,6.15,6.65,6.73,2.63,11.84,11.76,1.01,2.06,1.36
3.33,3.89,3.2,6.16,6.66,6.72,2.63,11.84,11.76,1.0,2.33,1.34
3.32,3.89,3.2,6.16,6.64,6.71,2.63,11.84,11.76,1.05,2.34,1.33
3.33,3.87,3.19,6.16,6.64,6.71,2.63,11.84,11.76,1.27,2.32,1.32
3.33,3.86,3.18,6.15,6.63,6.71,2.63,11.84,11.76,1.38,2.3,1.31
3.33,3.86,3.18,6.14,6.63,6.71,2.63,11.84,11.76,1.36,2.26,1.3
3.33,3.85,3.19,6.14,6.63,6.72,2.63,11.84,11.76,1.35,2.24,1.3
3.33,3.85,3.21,6.14,6.63,6.73,2.63,11.85,11.76,1.34,2.23,1.33
3.33,3.86,3.29,6.15,6.64,6.73,2.62,11.85,11.76,1.33,2.22,1.34
