Weight_dn21.1,Weight_dn21.2,Weight_dn21.3,Weight_un21.1,Weight_un21.3,Weight_dp21.1,Weight_dp21.2,Weight_dp21.3,Weight_up21.1,Weight_up21.2,Weight_up21.3,Weight_un21.2
4.22,3.53,3.54,5.5,5.59,7.34,6.91,6.77,1.46,1.68,1.55,3.2
4.22,3.53,3.86,5.51,5.59,7.34,6.91,6.77,1.46,1.68,1.54,3.2
4.22,3.53,4.23,5.51,5.59,7.35,6.91,6.77,1.46,1.68,1.54,3.2
4.23,3.53,4.34,5.51,5.59,7.35,6.91,6.77,1.46,1.68,1.54,3.2
4.24,3.53,4.33,5.51,5.6,7.35,6.91,6.77,1.46,1.68,1.54,3.2
4.24,3.53,4.3,5.51,5.6,7.35,6.92,6.77,1.46,1.68,1.55,3.21
4.25,3.53,4.28,5.52,5.6,7.35,6.92,6.78,1.46,1.68,1.55,3.21
4.25,3.53,4.28,5.52,5.6,7.35,6.92,6.78,1.46,1.68,1.55,3.21
4.25,3.53,4.28,5.52,5.6,7.36,6.92,6.78,1.47,1.68,1.55,3.21
4.25,3.53,4.29,5.53,5.61,7.36,6.92,6.78,1.48,1.68,1.55,3.21
4.25,3.53,4.3,5.53,5.66,7.36,6.92,6.78,1.48,1.68,1.55,3.21
4.26,3.53,4.3,5.55,6.08,7.36,6.92,6.78,1.48,1.68,1.55,3.22
4.26,3.53,4.31,5.71,6.99,7.37,6.92,6.78,1.49,1.68,1.55,3.22
4.27,3.53,4.31,5.94,6.98,7.37,6.92,6.78,1.49,1.69,1.55,3.22
4.27,3.53,4.31,5.95,6.98,7.37,6.92,6.78,1.48,1.69,1.55,3.22
4.27,3.53,4.31,6.1,6.96,7.37,7.27,6.79,1.48,1.68,1.55,3.22
4.26,3.53,4.32,6.14,6.92,7.37,8.93,6.79,1.48,1.69,1.55,3.22
4.26,3.53,4.33,6.14,6.91,7.37,9.76,6.79,1.47,1.69,1.55,3.23
4.26,3.53,4.33,6.13,6.92,7.37,9.75,6.79,1.48,1.68,1.55,3.23
4.26,3.54,4.34,6.15,6.93,7.38,9.71,6.79,1.48,1.68,1.55,3.23
4.26,3.56,4.33,6.17,6.95,7.38,9.67,6.79,1.47,1.69,1.55,3.23
4.26,3.73,4.33,6.2,6.97,7.38,9.65,6.79,1.47,1.69,1.55,3.23
4.26,4.13,4.33,6.22,6.98,7.38,9.46,6.79,1.47,1.69,1.55,3.23
4.26,4.4,4.33,6.24,6.99,7.38,9.18,6.79,1.47,1.69,1.55,3.23
4.26,4.42,4.33,6.25,6.99,7.38,9.14,6.79,1.47,1.68,1.55,3.24
4.26,4.4,4.33,6.27,7.0,7.39,9.17,6.79,1.47,1.69,1.55,3.24
4.26,4.37,4.33,6.29,7.02,7.39,9.18,6.79,1.47,1.69,1.55,3.24
4.26,4.36,4.33,6.3,7.05,7.39,9.19,6.8,1.47,1.69,1.55,3.24
4.26,4.36,4.33,6.32,7.08,7.39,9.2,6.79,1.54,1.69,1.55,3.24
4.26,4.37,4.33,6.36,7.07,7.39,9.2,6.8,1.93,1.69,1.55,3.24
4.26,4.38,4.33,6.38,7.06,7.39,9.2,6.8,2.16,1.68,1.55,3.25
4.26,4.38,4.34,6.38,7.06,7.41,9.22,6.8,2.16,1.68,1.55,3.25
4.26,4.39,4.33,6.37,7.06,7.41,9.22,6.8,2.15,1.69,1.55,3.25
4.26,4.39,4.33,6.37,7.06,7.41,9.22,6.8,2.14,1.69,1.55,3.25
4.26,4.39,4.33,6.38,7.07,7.41,9.23,6.8,2.13,1.69,1.55,3.25
4.26,4.4,4.34,6.38,7.07,7.42,9.23,6.8,2.1,1.68,1.55,3.25
4.26,4.4,4.33,6.39,7.07,7.42,9.23,6.8,2.0,1.68,1.55,3.25
4.26,4.41,4.34,6.39,7.07,7.55,9.23,6.8,1.96,1.69,1.55,3.25
4.26,4.42,4.34,6.39,7.07,8.92,9.23,6.8,1.97,1.69,1.55,3.25
4.26,4.42,4.34,6.39,7.07,10.23,9.24,6.8,1.98,1.69,1.55,3.25
4.26,4.42,4.34,6.4,7.07,10.31,9.24,6.8,1.98,1.69,1.6,3.25
4.26,4.41,4.34,6.4,7.08,10.27,9.24,6.8,1.98,1.69,1.95,3.25
4.26,4.41,4.34,6.4,7.08,10.23,9.24,6.8,1.98,1.69,2.18,3.26
4.26,4.41,4.34,6.41,7.08,10.22,9.24,6.81,1.99,1.69,2.18,3.26
4.26,4.41,4.34,6.41,7.08,10.2,9.24,6.82,1.99,1.69,2.17,3.26
4.26,4.41,4.34,6.41,7.08,9.67,9.24,6.82,1.99,1.69,2.17,3.26
4.26,4.41,4.34,6.41,7.09,9.63,9.25,6.83,1.99,1.69,2.14,3.26
4.26,4.41,4.34,6.42,7.09,9.67,9.25,6.83,2.0,1.69,2.05,3.26
4.26,4.41,4.34,6.42,7.09,9.7,9.25,6.83,2.0,1.69,2.0,3.26
4.26,4.41,4.34,6.42,7.09,9.71,9.25,6.83,2.01,1.68,2.01,3.26
4.26,4.41,4.34,6.43,7.09,9.72,9.25,6.83,2.01,1.69,2.02,3.26
4.26,4.41,4.34,6.43,7.1,9.73,9.25,6.83,2.02,1.77,2.03,3.3
4.26,4.41,4.34,6.43,7.1,9.73,9.25,6.83,2.02,2.16,2.03,3.76
4.26,4.41,4.34,6.43,7.1,9.73,9.26,6.92,2.02,2.34,2.03,3.79
4.26,4.41,4.34,6.44,7.1,9.74,9.26,8.1,2.02,2.34,2.04,3.84
4.26,4.42,4.34,6.44,7.1,9.74,9.26,9.5,2.01,2.33,2.04,3.86
4.27,4.42,4.34,6.44,7.11,9.74,9.26,9.62,2.0,2.32,2.04,3.87
4.37,4.42,4.35,6.44,7.11,9.74,9.26,9.58,2.0,2.31,2.04,3.84
4.84,4.42,4.42,6.44,7.11,9.75,9.26,9.55,2.0,2.28,2.04,3.84
4.97,4.41,4.63,6.44,7.11,9.75,9.26,9.53,2.0,2.21,2.04,3.85
5.02,4.42,4.88,6.45,7.11,9.75,9.26,9.49,2.0,2.18,2.04,3.87
5.06,4.42,5.04,6.45,7.11,9.75,9.27,9.26,2.0,2.19,2.04,3.9
5.08,4.41,5.11,6.45,7.11,9.77,9.27,9.02,2.0,2.19,2.04,3.92
5.09,4.42,5.15,6.46,7.11,9.78,9.27,9.0,2.01,2.19,2.04,3.93
5.1,4.42,5.17,6.47,7.11,9.78,9.27,9.03,2.01,2.19,2.04,3.94
5.09,4.42,5.17,6.48,7.11,9.78,9.27,9.04,2.01,2.19,2.04,3.94
5.09,4.42,5.17,6.49,7.16,9.78,9.27,9.05,2.01,2.2,2.05,3.95
5.09,4.42,5.17,6.49,7.44,9.78,9.27,9.07,2.01,2.2,2.05,3.96
5.09,4.42,5.17,6.48,7.86,9.79,9.27,9.07,2.01,2.2,2.05,3.97
5.09,4.42,5.17,6.48,8.16,9.79,9.27,9.08,2.01,2.2,2.05,4.01
5.09,4.42,5.17,6.49,8.3,9.79,9.28,9.08,2.01,2.2,2.05,4.02
5.09,4.42,5.17,6.58,8.37,9.79,9.28,9.08,2.01,2.2,2.05,4.02
5.09,4.42,5.17,6.9,8.42,9.79,9.3,9.08,2.01,2.2,2.05,4.02
5.09,4.42,5.17,7.21,8.47,9.8,9.3,9.08,2.01,2.2,2.05,4.02
5.09,4.42,5.17,6.88,8.47,9.8,9.3,9.08,2.01,2.2,2.05,4.02
5.09,4.42,5.17,6.67,8.47,9.8,9.3,9.09,2.01,2.21,2.05,4.02
5.09,4.42,5.17,6.81,8.47,9.8,9.3,9.09,2.01,2.21,2.05,4.03
5.09,4.42,5.17,6.9,8.48,9.8,9.3,9.09,2.01,2.21,2.05,4.03
5.09,4.42,5.18,7.01,8.48,9.8,9.3,9.09,2.01,2.21,2.05,4.04
5.09,4.42,5.18,7.03,8.48,9.81,9.3,9.09,2.01,2.21,2.05,4.04
5.09,4.42,5.17,7.05,8.48,9.81,9.3,9.09,2.01,2.21,2.05,4.04
5.09,4.42,5.18,7.07,8.49,9.82,9.31,9.09,2.01,2.21,2.05,4.04
5.09,4.42,5.18,7.08,8.49,9.83,9.31,9.1,2.01,2.21,2.05,4.05
5.09,4.42,5.18,7.09,8.49,9.83,9.31,9.11,2.01,2.21,2.05,4.05
5.09,4.42,5.18,7.1,8.49,9.83,9.31,9.12,2.01,2.21,2.05,4.05
5.09,4.42,5.18,7.11,8.49,9.83,9.31,9.12,2.01,2.21,2.05,4.05
5.09,4.42,5.18,7.12,8.49,9.83,9.31,9.12,2.01,2.21,2.05,4.05
5.09,4.42,5.18,7.14,8.49,9.84,9.31,9.12,2.01,2.21,2.05,4.06
5.09,4.42,5.18,7.14,8.49,9.84,9.64,9.12,2.01,2.21,2.05,4.06
5.09,4.42,5.18,7.15,8.5,9.84,12.23,9.12,2.01,2.21,2.05,4.06
5.09,4.42,5.18,7.16,8.5,9.84,12.21,9.12,2.01,2.21,2.05,4.06
5.09,4.42,5.18,7.16,8.5,9.84,12.16,9.12,2.01,2.21,2.05,4.07
5.09,4.42,5.18,7.17,8.5,9.84,12.13,9.12,2.01,2.21,2.05,4.07
5.09,4.42,5.18,7.17,8.5,9.85,12.09,9.13,2.01,2.21,2.05,4.07
5.09,4.43,5.18,7.18,8.5,9.85,11.81,9.13,2.01,2.22,2.05,4.07
5.09,4.5,5.18,7.19,8.5,9.85,11.48,9.13,2.01,2.22,2.05,4.07
