Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un,Weight_1821up,Weight_1821dp,Weight_1821dn,Weight_1821un,Weight_1821un.3,Weight_1833up,Weight_1833dp,Weight_1833un,Weight_1833dn,Weight_1827un,Weight_1827dn,Weight_1827dp,Weight_1827up
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.7,4.28,3.66,2.09,4,0.57,1.55,2.31,0.44,0.43,1.9,5.23,2.56,1.91,1.11,1.43,2.85,2
0.22,0.51,0.52,0.32,0.32,0.31,1.45,3.71,4.28,3.67,2.26,4.06,0.57,1.55,2.29,0.45,0.44,1.9,5.23,2.56,1.91,1.53,1.44,2.85,1.83
0.22,0.51,0.52,0.32,0.32,0.31,1.45,4.59,4.28,3.67,3.11,4.22,0.56,1.54,2.25,0.43,0.47,1.9,5.23,2.57,1.91,2.29,1.44,2.85,1.82
0.22,0.51,0.52,0.32,0.32,0.31,1.45,7.66,4.28,3.67,3.97,4.33,0.56,1.54,2.17,0.42,0.47,1.9,5.23,2.57,1.91,2.6,1.44,2.85,1.82
0.24,0.51,0.52,0.32,0.32,0.31,1.45,8.82,4.28,3.67,4.13,4.32,0.55,1.54,2.08,0.42,0.46,1.9,5.23,2.57,1.91,2.59,1.44,2.85,1.83
0.48,0.51,0.53,0.32,0.32,0.31,1.45,8.83,4.28,3.67,4.1,4.31,0.55,1.53,2.07,0.41,0.45,1.9,5.23,2.57,1.92,2.44,1.44,2.85,1.83
0.48,0.51,0.53,0.32,0.32,0.31,1.45,8.79,4.28,3.67,3.94,4.31,0.57,1.54,2.08,0.42,0.44,1.9,5.23,2.57,1.92,2.28,1.44,2.85,1.84
0.48,0.51,0.53,0.32,0.32,0.33,1.45,8.75,4.67,3.67,3.81,4.3,0.6,1.53,2.09,0.45,0.44,1.9,5.24,2.57,1.92,2.31,1.44,3.24,1.84
0.48,0.51,0.53,0.32,0.32,0.46,1.45,8.72,7.39,3.67,3.82,4.27,0.6,1.53,2.17,0.43,0.44,1.9,5.24,2.57,1.92,2.33,1.44,4.82,1.84
0.48,0.51,0.53,0.33,0.32,0.89,1.45,8.71,9.32,3.68,3.87,4.26,0.59,1.52,2.2,0.42,0.47,1.9,5.24,2.59,1.92,2.35,1.44,5.58,1.85
0.48,0.51,0.53,0.33,0.32,0.93,1.45,8.62,9.41,3.68,3.88,4.28,0.58,1.52,2.18,0.42,0.46,1.9,5.24,2.95,1.92,2.41,1.44,5.67,1.85
0.47,0.51,0.53,0.33,0.32,0.89,1.45,8.21,9.37,3.68,3.92,4.3,0.58,1.53,2.15,0.41,0.45,1.9,5.24,4.56,1.93,2.47,1.44,5.68,1.85
0.46,0.51,0.53,0.33,0.32,0.84,1.45,7.78,9.33,3.69,3.98,4.32,0.57,1.53,2.14,0.43,0.44,1.9,5.24,6.21,1.93,2.48,1.44,5.68,1.85
0.42,0.51,0.53,0.33,0.32,0.85,1.45,7.7,9.29,3.69,3.98,4.33,0.57,1.53,2.13,0.45,0.43,1.9,5.24,6.53,1.93,2.46,1.44,5.69,1.85
0.42,0.51,0.53,0.33,0.32,0.87,1.45,7.74,9.28,3.69,3.96,4.34,0.56,1.53,2.13,0.44,0.44,1.9,5.24,6.38,1.93,2.45,1.44,5.71,1.85
0.42,0.51,0.53,0.33,0.32,0.89,1.45,7.76,9.2,3.69,3.95,4.35,0.56,1.53,2.13,0.43,0.47,1.9,5.24,5.93,1.93,2.46,1.46,5.61,1.86
0.42,0.51,0.53,0.33,0.32,0.91,1.45,7.79,8.78,3.69,3.95,4.36,0.55,1.52,2.13,0.41,0.47,1.9,5.24,5.69,1.93,2.47,1.74,5.24,1.86
0.42,0.51,0.53,0.33,0.32,0.92,1.45,7.83,8.29,3.7,3.95,4.37,0.55,1.53,2.12,0.42,0.46,1.9,5.25,5.77,1.93,2.47,2.44,4.99,1.86
0.42,0.51,0.53,0.33,0.32,0.98,1.45,7.84,8.21,3.7,3.96,4.38,0.54,1.56,2.12,0.44,0.44,1.9,9.57,5.81,1.96,2.47,2.84,4.98,1.86
0.42,0.51,0.53,0.33,0.32,0.99,1.45,7.84,8.29,3.7,3.96,4.39,0.57,1.62,2.14,0.45,0.48,1.9,11.46,5.94,2.38,2.48,2.89,5,1.86
0.42,0.51,0.54,0.33,0.32,0.99,1.45,7.84,8.33,3.7,3.96,4.39,0.57,1.64,2.17,0.44,0.75,1.9,11.5,6.16,3.45,2.48,2.83,5.02,1.86
0.42,0.51,0.64,0.33,0.32,1,1.45,7.85,8.34,3.7,3.96,4.4,0.57,1.64,2.16,0.47,1.05,1.9,11.46,6.2,4.12,2.48,2.7,5.06,1.86
0.42,0.51,0.88,0.33,0.32,1,1.45,7.85,8.34,3.71,3.96,4.4,0.56,1.64,2.15,0.69,1.11,1.9,11.41,6.16,4.27,2.49,2.72,5.07,1.86
0.42,0.51,0.99,0.33,0.32,1.01,1.45,7.85,8.35,3.71,3.96,4.4,0.56,1.63,2.13,0.94,1.1,1.9,11.37,6.13,4.23,2.49,2.74,5.09,1.87
0.42,0.51,0.99,0.33,0.32,1.02,1.45,7.86,8.35,3.71,3.97,4.41,0.56,1.63,2.13,0.98,1.05,1.9,11.35,6.05,4.09,2.5,2.76,5.11,1.87
0.42,0.51,0.98,0.33,0.32,1.02,1.45,7.86,8.36,3.71,3.97,4.41,0.59,1.62,2.12,0.93,1,1.9,11.35,5.97,4.07,2.5,2.8,5.12,1.87
0.42,0.51,0.94,0.33,0.32,1.03,1.45,7.87,8.36,3.71,3.97,4.42,0.84,1.62,2.12,0.89,0.98,1.9,11.35,5.99,4.14,2.5,2.85,5.13,1.87
0.42,0.51,0.93,0.33,0.32,1.04,1.45,7.87,8.37,3.71,3.97,4.43,1.07,1.61,2.13,0.87,0.98,1.9,10.74,6.02,4.16,2.5,2.86,5.14,1.87
0.42,0.51,0.94,0.33,0.32,1.05,1.45,7.87,8.39,3.72,3.97,4.43,1.06,1.61,2.15,0.87,1.02,1.9,10.28,6.05,4.18,2.5,2.85,5.15,1.87
0.42,0.51,0.95,0.33,0.32,1.06,1.45,7.87,8.4,3.72,3.97,4.43,1.05,1.61,2.15,0.87,1.1,1.9,10.24,6.06,4.23,2.51,2.85,5.15,1.87
0.42,0.51,0.95,0.33,0.32,1.06,1.45,7.87,8.4,3.73,3.97,4.44,1.04,1.6,2.14,0.89,1.12,1.9,10.32,6.07,4.28,2.51,2.85,5.16,1.87
0.42,0.51,0.96,0.33,0.32,1.07,1.45,7.88,8.4,4.01,3.97,4.44,1.03,1.6,2.13,0.95,1.09,1.9,10.35,6.07,4.29,2.51,2.86,5.16,1.87
0.42,0.69,0.97,0.33,0.32,1.07,1.45,7.88,8.4,4.87,3.97,4.45,1.02,1.59,2.12,0.96,1.07,1.9,10.36,6.07,4.29,2.51,2.86,5.17,1.87
0.42,1.09,0.97,0.33,0.32,1.08,1.45,7.88,8.41,5.02,3.98,4.45,1.01,1.59,2.12,0.92,1.06,1.9,10.36,6.08,4.29,2.52,2.86,5.18,1.87
0.42,1.21,0.97,0.33,0.35,1.08,1.45,7.88,8.41,5.04,3.98,4.45,1.01,1.58,2.11,0.91,1.05,1.9,10.36,6.09,4.29,2.52,2.87,5.19,1.88
0.42,1.22,0.97,0.33,0.81,1.09,1.45,7.89,8.41,4.81,3.98,4.46,0.99,1.58,2.14,0.91,1.1,1.9,10.37,6.09,4.31,2.52,2.87,5.19,1.88
