Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un
0.43,1.13,0.99,1.07,1.13,2.3,2.79,7.93,8.49,5.03,5.73,4.53
0.43,1.13,0.99,1.08,1.13,2.3,2.79,7.93,8.49,5.03,5.8,4.54
0.43,1.13,0.99,1.09,1.14,2.31,2.79,7.93,8.49,5.03,5.81,4.54
0.43,1.13,0.99,1.09,1.14,2.31,2.79,7.93,8.49,5.03,5.8,4.55
0.43,1.13,0.99,1.1,1.15,2.32,2.79,7.93,9.15,5.03,5.79,4.64
0.43,1.13,0.99,1.1,1.15,2.32,2.8,7.93,12.37,5.03,5.79,5.43
0.43,1.13,0.99,1.11,1.16,2.33,2.8,7.93,14.03,5.03,5.79,6.86
0.43,1.13,0.99,1.11,1.16,2.33,2.8,7.93,14.04,5.04,5.79,7.56
0.43,1.13,0.99,1.12,1.16,2.33,2.8,7.93,13.98,5.04,5.78,7.6
0.43,1.14,1,1.13,1.17,2.34,2.8,7.93,13.93,5.04,5.79,7.45
0.43,1.14,1,1.13,1.17,2.34,2.8,7.94,13.77,5.04,5.79,7.15
0.53,1.14,1,1.14,1.17,2.34,2.8,7.96,13.08,5.04,5.79,7.06
0.66,1.14,1,1.14,1.18,2.35,2.8,7.97,12.49,5.04,5.8,7.11
0.67,1.14,1,1.14,1.18,2.35,2.8,7.97,12.48,5.04,5.8,7.14
0.67,1.14,1,1.15,1.18,2.35,2.8,7.97,12.54,5.04,5.81,7.17
0.67,1.14,1,1.15,1.19,2.35,2.81,7.97,12.55,5.05,5.81,7.29
0.67,1.14,1,1.16,1.19,2.37,2.81,7.99,12.55,5.05,5.81,7.43
0.67,1.14,1,1.16,1.19,2.48,2.81,9.02,12.56,5.05,5.81,7.42
0.64,1.14,1,1.17,1.19,2.81,2.81,12.2,12.58,5.05,5.81,7.4
0.62,1.14,1,1.17,1.2,3.15,2.81,13.26,12.6,5.05,5.82,7.38
0.62,1.14,1,1.17,1.2,3.25,2.81,13.23,12.6,5.05,5.82,7.33
0.62,1.14,1,1.18,1.2,3.25,2.81,13.13,12.6,5.06,5.82,7.28
0.62,1.14,1,1.18,1.21,3.22,2.82,13.12,12.6,5.06,5.82,7.29
0.62,1.14,1,1.18,1.21,3.22,2.82,13.08,12.61,5.06,5.82,7.31
0.62,1.14,1,1.19,1.21,3.23,2.82,12.7,12.61,5.06,5.83,7.33
0.62,1.14,1,1.19,1.21,3.24,2.82,12.08,12.61,5.06,5.83,7.34
0.62,1.14,1,1.19,1.21,3.25,2.82,11.94,12.61,5.06,5.83,7.35
0.62,1.14,1,1.2,1.22,3.26,2.82,12,12.62,5.06,5.83,7.36
0.62,1.14,1,1.2,1.22,3.27,2.82,12.04,12.62,5.06,5.83,7.36
0.63,1.14,1,1.2,1.22,3.27,2.82,12.05,12.62,5.06,5.83,7.37
0.63,1.14,1,1.2,1.22,3.29,2.82,12.09,12.62,5.06,5.84,7.37
0.63,1.14,1.01,1.21,1.23,3.3,2.82,12.1,12.64,5.06,5.84,7.37
0.63,1.14,1.01,1.21,1.23,3.31,2.82,12.1,12.66,5.06,5.84,7.38
0.63,1.16,1.01,1.21,1.23,3.32,2.82,12.11,12.66,5.06,5.84,7.38
0.63,1.47,1.01,1.22,1.23,3.32,2.82,12.11,12.67,5.06,5.84,7.38
0.63,1.88,1.01,1.22,1.23,3.32,2.82,12.11,12.67,5.07,5.84,7.38
0.63,1.95,1.09,1.22,1.24,3.32,2.82,12.12,12.67,5.07,5.84,7.39
0.63,1.95,1.28,1.22,1.24,3.32,2.82,12.12,12.67,5.07,5.84,7.39
0.63,1.95,1.38,1.23,1.24,3.33,2.82,12.13,12.67,5.07,5.84,7.39
0.63,1.95,1.39,1.23,1.24,3.33,2.82,12.16,12.68,5.07,5.85,7.4
0.63,1.95,1.36,1.23,1.25,3.33,2.82,12.17,12.68,5.07,5.85,7.4
0.63,1.85,1.35,1.23,1.25,3.34,2.82,12.17,12.68,5.07,5.85,7.41
0.63,1.8,1.35,1.23,1.25,3.34,2.82,12.18,12.68,5.07,5.85,7.42
0.63,1.8,1.36,1.24,1.25,3.34,2.82,12.18,12.68,5.07,5.85,7.44
0.63,1.8,1.36,1.24,1.25,3.34,2.82,12.18,12.68,5.07,5.85,7.45
0.63,1.8,1.36,1.24,1.25,3.35,2.82,12.18,12.68,5.07,5.85,7.45
0.63,1.81,1.37,1.24,1.25,3.35,2.82,12.19,12.69,5.07,5.85,7.44
0.63,1.81,1.38,1.25,1.26,3.35,2.82,12.19,12.69,5.08,6.19,7.44
0.63,1.81,1.39,1.25,1.26,3.35,2.82,12.19,12.69,5.28,6.84,7.44
0.63,1.82,1.38,1.25,1.26,3.35,2.82,12.2,12.69,6.07,7.32,7.45
0.63,1.82,1.38,1.25,1.26,3.36,2.82,12.2,12.69,6.79,7.42,7.45
0.63,1.82,1.38,1.25,1.26,3.36,2.82,12.2,12.7,6.89,7.43,7.45
0.63,1.82,1.38,1.26,1.26,3.36,2.82,12.2,12.72,6.86,7.38,7.45
0.63,1.82,1.38,1.26,1.27,3.36,2.82,12.2,12.72,6.75,7.35,7.45
0.63,1.83,1.39,1.26,1.27,3.36,2.83,12.21,12.73,6.64,7.35,7.45
