Weight_d27mm,Weight_u27mm,Weight_d24mm,Weight_u24mm,Weight_d21mm,Weight_u21mm
9.47,1.98,8.55,0.96,8.48,2.37
10.94,1.98,8.55,0.96,8.48,2.37
11.17,1.97,8.55,0.96,8.48,2.37
11.13,1.97,8.55,0.96,8.48,2.37
11.07,1.97,8.55,0.96,8.48,2.37
11.06,1.97,8.55,0.96,8.48,2.38
11.02,1.97,8.55,0.96,8.48,2.37
10.79,1.97,8.55,0.96,8.48,2.37
10.61,1.97,8.55,0.96,8.48,2.37
10.62,1.97,8.55,0.96,8.48,2.37
10.65,1.97,8.55,0.96,8.48,2.37
10.66,1.97,8.55,0.96,8.49,2.37
10.68,1.97,8.55,1.16,8.49,2.37
10.68,1.97,8.57,1.52,8.49,2.37
10.68,1.97,8.69,1.56,8.49,2.37
10.68,1.97,8.76,1.54,8.64,2.37
10.69,1.97,8.76,1.53,9.95,2.37
10.69,1.97,8.76,1.53,11.03,2.37
10.69,1.97,8.75,1.53,11.05,2.37
10.69,1.97,8.75,1.51,10.97,2.37
10.69,1.97,8.74,1.44,10.95,2.37
10.7,1.97,8.74,1.39,10.94,2.37
10.7,1.97,8.73,1.39,10.79,2.37
10.7,1.97,8.72,1.4,10.52,2.38
10.7,1.97,8.72,1.4,10.48,2.61
10.71,1.97,8.71,1.4,10.51,2.95
10.72,1.97,8.71,1.41,10.52,2.98
10.72,1.97,8.71,1.41,10.53,2.97
10.73,1.97,8.71,1.4,10.54,2.96
10.73,1.97,8.71,1.4,10.54,2.88
10.73,1.97,8.71,1.4,10.54,2.76
10.73,1.97,8.71,1.4,10.54,2.73
10.73,1.97,8.7,1.41,10.55,2.75
10.73,2.03,8.7,1.41,10.55,2.76
10.73,2.34,8.7,1.41,10.56,2.77
10.74,2.52,8.7,1.41,10.56,2.77
10.74,2.5,8.7,1.41,10.57,2.77
10.74,2.49,8.69,1.41,10.57,2.77
10.74,2.49,8.69,1.41,10.57,2.77
10.74,2.48,8.69,1.41,10.57,2.77
10.74,2.45,8.69,1.41,10.57,2.77
10.74,2.4,8.69,1.41,10.57,2.77
10.74,2.39,8.69,1.41,10.57,2.77
10.74,2.39,8.69,1.41,10.57,2.77
10.75,2.39,8.69,1.42,10.57,2.77
10.75,2.39,8.68,1.42,10.58,2.78
10.75,2.39,8.68,1.41,10.58,2.77
10.75,2.39,8.68,1.41,10.58,2.78
10.75,2.4,8.68,1.41,10.58,2.78
10.75,2.4,8.68,1.41,10.58,2.78
10.75,2.4,8.68,1.41,10.58,2.78
10.75,2.4,8.68,1.41,10.58,2.78
10.75,2.4,8.67,1.41,10.58,2.78
10.75,2.4,8.67,1.41,10.58,2.78
10.76,2.4,8.67,1.41,10.58,2.78
10.76,2.39,8.67,1.41,10.59,2.78
10.76,2.39,8.67,1.42,10.59,2.78
10.76,2.39,8.67,1.42,10.59,2.78
10.76,2.39,8.67,1.42,10.59,2.78
10.76,2.39,8.66,1.42,10.59,2.78
10.76,2.4,8.66,1.42,10.59,2.78
10.76,2.39,8.66,1.42,10.59,2.78
10.76,2.39,10.02,1.42,10.59,2.78
10.76,2.39,11.2,1.42,10.59,2.78
10.77,2.39,11.26,1.42,10.59,2.78
10.77,2.39,11.21,1.42,10.59,2.78
10.77,2.39,11.17,1.42,10.59,2.78
10.77,2.39,11.15,1.42,10.59,2.78
10.77,2.39,11.12,1.42,10.6,2.78
10.77,2.39,10.9,1.42,10.6,2.78
10.77,2.39,10.68,1.42,10.6,2.78
10.77,2.39,10.69,1.42,10.6,2.78
10.77,2.39,10.7,1.42,10.6,2.78
10.77,2.39,10.71,1.42,10.6,2.78
10.77,2.39,10.71,1.42,10.6,2.78
10.77,2.39,10.71,1.42,10.6,2.78
10.77,2.39,10.71,1.42,10.6,2.78
10.78,2.39,10.71,1.42,10.6,2.78
10.78,2.39,10.7,1.42,10.6,2.78
10.78,2.39,10.7,1.42,10.6,2.78
10.78,2.39,10.72,1.42,10.6,2.78
10.78,2.39,10.72,1.42,10.6,2.78
10.78,2.39,10.72,1.42,10.6,2.79
10.78,2.39,10.72,1.42,10.6,2.79
10.78,2.39,10.72,1.42,10.6,2.79
10.78,2.39,10.71,1.42,10.6,2.79
10.78,2.39,10.71,1.42,10.6,2.79
10.78,2.39,10.72,1.42,10.6,2.79
11.06,2.39,10.73,1.42,10.6,2.79
